"Fiscal Year","Contracting Agency ID","Product or Service Code","Dollars Obligated"
"2019","0300","R612","$25,100.00"
"2019","0559","5810","$364,715.97"
"2019","0559","7010","$406,967.38"
"2019","0559","7021","$510,800.00"
"2019","0559","7030","$4,040,236.94"
"2019","0559","7042","$49,125.00"
"2019","0559","7045","$45,696.00"
"2019","0559","7110","$207,628.34"
"2019","0559","7195","$36,130.31"
"2019","0559","7510","$41,034.00"
"2019","0559","7610","$1,268.40"
"2019","0559","8455","$59,834.49"
"2019","0559","B504","($57,433.65)"
"2019","0559","B506","$92,337.70"
"2019","0559","B529","$335,963.19"
"2019","0559","B546","$800,227.24"
"2019","0559","B599","$226,233.76"
"2019","0559","D303","($14,564.27)"
"2019","0559","D304","$429,084.00"
"2019","0559","D312","$36,992.00"
"2019","0559","D316","$4,370,125.00"
"2019","0559","D317","$259,573.00"
"2019","0559","D318","$3,848,133.91"
"2019","0559","D319","$6,702,767.84"
"2019","0559","D320","$151,897.43"
"2019","0559","D399","$20,943,978.93"
"2019","0559","J063","$329,539.22"
"2019","0559","J099","$15,500.10"
"2019","0559","K058","$73,089.47"
"2019","0559","L070","$9,572.19"
"2019","0559","N023","$0.00"
"2019","0559","R401","$116,600.00"
"2019","0559","R408","$775,615.57"
"2019","0559","R410","($2,094.27)"
"2019","0559","R415","$128,960.00"
"2019","0559","R418","$290,060.44"
"2019","0559","R422","$1,993,242.78"
"2019","0559","R426","$0.00"
"2019","0559","R428","($4,876.55)"
"2019","0559","R430","$220,151.03"
"2019","0559","R497","$96,354.00"
"2019","0559","R499","$649,422.13"
"2019","0559","R603","$9,304.55"
"2019","0559","R604","$83,840.00"
"2019","0559","R605","$1,182,108.53"
"2019","0559","R606","$32,104.10"
"2019","0559","R608","$433,761.54"
"2019","0559","R611","($1,250.00)"
"2019","0559","R612","$547,526.84"
"2019","0559","R613","$14,750.24"
"2019","0559","R614","$17,400.00"
"2019","0559","R699","$431,582.65"
"2019","0559","R703","$0.00"
"2019","0559","R704","$2,367,068.39"
"2019","0559","R707","$14,000.00"
"2019","0559","R710","$1,081,079.35"
"2019","0559","R799","$1,745,962.60"
"2019","0559","S201","$24,918.04"
"2019","0559","S203","$11,768.36"
"2019","0559","S206","$6,333,779.96"
"2019","0559","S211","$29,246.28"
"2019","0559","T001","$210,033.28"
"2019","0559","T006","$1,828.00"
"2019","0559","U001","$0.00"
"2019","0559","U005","$35,000.00"
"2019","0559","U008","($9,315.00)"
"2019","0559","U009","$1,880,320.56"
"2019","0559","U099","$82,910.00"
"2019","0559","V002","$122,142.10"
"2019","0559","Y1AA","$0.00"
"2019","0559","Z1AZ","$17,194,858.50"
"2019","0559","Z2QA","$443,203.45"
"2019","1100","2310","$106,244.90"
"2019","1100","3930","$29,743.50"
"2019","1100","5410","$0.00"
"2019","1100","5805","$0.00"
"2019","1100","5810","$14,223.38"
"2019","1100","5815","$19,196.33"
"2019","1100","5965","$16,159.00"
"2019","1100","5999","$26,317.74"
"2019","1100","6220","$13,195.00"
"2019","1100","6720","$26,657.00"
"2019","1100","6910","$11,515.48"
"2019","1100","7025","$2,367.36"
"2019","1100","7030","$5,667,735.20"
"2019","1100","7045","$27,375.00"
"2019","1100","7110","$1,070,493.42"
"2019","1100","7125","$17,011.00"
"2019","1100","7195","$7,150.00"
"2019","1100","7220","$100,005.28"
"2019","1100","7435","$381,408.41"
"2019","1100","7510","$8,000.00"
"2019","1100","7630","$285,210.78"
"2019","1100","8345","$23,611.13"
"2019","1100","8730","$9,000.00"
"2019","1100","9515","$19,868.40"
"2019","1100","B506","$3,320,085.77"
"2019","1100","B539","$300,000.00"
"2019","1100","B544","$134,450.72"
"2019","1100","D301","$10,000.80"
"2019","1100","D302","$6,588,389.97"
"2019","1100","D307","$19,149.00"
"2019","1100","D310","$3,198,819.73"
"2019","1100","D316","$777,725.77"
"2019","1100","D317","$3,732,730.75"
"2019","1100","D318","$8,666,999.05"
"2019","1100","D319","$1,289,313.55"
"2019","1100","D320","$12,260.00"
"2019","1100","D399","$5,557,937.03"
"2019","1100","G009","$8,800.00"
"2019","1100","J063","$327,051.03"
"2019","1100","J074","$53,946.02"
"2019","1100","J075","$3,717.79"
"2019","1100","N099","$696,688.46"
"2019","1100","P999","$7,592.22"
"2019","1100","Q702","$11,004.00"
"2019","1100","Q999","$45,000.00"
"2019","1100","R408","$78,912.00"
"2019","1100","R418","$2,395,011.53"
"2019","1100","R425","$2,146,512.00"
"2019","1100","R426","$710,603.42"
"2019","1100","R431","$1,064,270.70"
"2019","1100","R499","$1,188,023.38"
"2019","1100","R604","$100,000.00"
"2019","1100","R605","$53,470.00"
"2019","1100","R606","$22,840.00"
"2019","1100","R608","$442,000.00"
"2019","1100","R612","$123,215.80"
"2019","1100","R699","$2,011,959.00"
"2019","1100","R701","$114,000.00"
"2019","1100","R702","$97,200.00"
"2019","1100","R703","$559,987.24"
"2019","1100","R704","$17,013.07"
"2019","1100","R707","$180,000.00"
"2019","1100","R708","$6,500.00"
