Fiscal Year,Contracting Agency ID,Contracting Agency Name,Product or Service Code,Product or Service Description,Base and Exercised Options Value,Base and All Options Value (Total Contract Value),Non Government Dollars,Dollars Obligated,Number of Actions,Number of Records
2001,2100,DEPT OF THE ARMY,A,RESEARCH AND DEVELOPMENT,$0.00 ,$0.00 ,$0.00 ,$0.00 ,1 ,1 
2004,7001,OFFICE OF PROCUREMENT OPERATIONS,AD24,SERVICES (ENGINEERING),"$2,000,000.00 ","$2,000,000.00 ",$0.00 ,"$2,000,000.00 ",1 ,1 
2004,7013,TRANSPORTATION SECURITY ADMINISTRATION,R499,OTHER PROFESSIONAL SERVICES,$0.00 ,$0.00 ,$0.00 ,$0.00 ,1 ,1 
2005,7001,OFFICE OF PROCUREMENT OPERATIONS,AJ42,ENGINEERING (APPLIED/EXPLORATORY),"$3,076,302.00 ","$3,076,302.00 ",$0.00 ,"$3,076,302.00 ",1 ,1 
2005,7001,OFFICE OF PROCUREMENT OPERATIONS,R408,PROGRAM MANAGEMENT/SUPPORT SERVICES,"$3,520,508.00 ","$3,520,508.00 ",$0.00 ,"$3,520,508.00 ",3 ,3 
2005,7013,TRANSPORTATION SECURITY ADMINISTRATION,R499,OTHER PROFESSIONAL SERVICES,$0.00 ,$0.00 ,$0.00 ,$0.00 ,3 ,3 
2006,7013,TRANSPORTATION SECURITY ADMINISTRATION,R499,OTHER PROFESSIONAL SERVICES,$0.00 ,$0.00 ,$0.00 ,$0.00 ,1 ,1 
2007,2100,DEPT OF THE ARMY,A,RESEARCH AND DEVELOPMENT,"$4,852,353.00 ","$4,852,353.00 ",$0.00 ,"$4,852,353.00 ",1 ,1 
2007,7001,OFFICE OF PROCUREMENT OPERATIONS,AJ42,ENGINEERING (APPLIED/EXPLORATORY),"$18,787,297.00 ","$18,787,297.00 ",$0.00 ,"$18,267,297.00 ",3 ,3 
2007,7001,OFFICE OF PROCUREMENT OPERATIONS,AZ13,R&D-OTHER R & D-ADV DEV,"$15,607,543.00 ","$15,607,543.00 ",$0.00 ,"$15,607,543.00 ",2 ,2 
2007,7001,OFFICE OF PROCUREMENT OPERATIONS,R499,OTHER PROFESSIONAL SERVICES,"$900,000.00 ","$900,000.00 ",$0.00 ,"$900,000.00 ",1 ,1 
2007,7013,TRANSPORTATION SECURITY ADMINISTRATION,N063,INSTALL OF ALARM & SIGNAL SYSTEM,"$11,000,000.00 ","$11,000,000.00 ",$0.00 ,"$11,000,000.00 ",1 ,1 
2007,7013,TRANSPORTATION SECURITY ADMINISTRATION,N067,INSTALL OF PHOTOGRAPHIC EQ,"$1,400,000.00 ","$1,400,000.00 ",$0.00 ,"$1,400,000.00 ",1 ,1 
2007,7013,TRANSPORTATION SECURITY ADMINISTRATION,R499,OTHER PROFESSIONAL SERVICES,$0.00 ,$0.00 ,$0.00 ,$0.00 ,169 ,169 
2007,7013,TRANSPORTATION SECURITY ADMINISTRATION,Y125,CONSTRUCTION OF AIRPORT TERMINALS,"$33,000,000.00 ","$33,000,000.00 ",$0.00 ,"$33,000,000.00 ",1 ,1 
2007,9761,DEFENSE THREAT REDUCTION AGENCY (DTRA),AD92,OTHER DEFENSE (APPLIED/EXPLORATORY),"$141,508,004.00 ","$167,406,373.00 ",$0.00 ,"$5,192,508.12 ",2 ,2 
2008,2100,DEPT OF THE ARMY,AD94,OTHER DEFENSE (ENGINEERING),"$22,963,526.53 ","$22,963,526.53 ",$0.00 ,"$22,963,526.53 ",1 ,1 
2008,7001,OFFICE OF PROCUREMENT OPERATIONS,AJ42,ENGINEERING (APPLIED/EXPLORATORY),"$396,059.00 ","$396,059.00 ",$0.00 ,"$396,059.00 ",1 ,1 
2008,7001,OFFICE OF PROCUREMENT OPERATIONS,AZ13,R&D-OTHER R & D-ADV DEV,"$13,405,098.00 ","$17,452,900.00 ",$0.00 ,"$13,405,098.00 ",1 ,1 
2008,7001,OFFICE OF PROCUREMENT OPERATIONS,R408,PROGRAM MANAGEMENT/SUPPORT SERVICES,$0.00 ,$0.00 ,$0.00 ,$0.00 ,2 ,2 
2008,7001,OFFICE OF PROCUREMENT OPERATIONS,R499,OTHER PROFESSIONAL SERVICES,"$51,484,007.68 ","$51,484,007.68 ",$0.00 ,"$51,484,007.68 ",2 ,2 
2008,7013,TRANSPORTATION SECURITY ADMINISTRATION,C119,OTHER BUILDINGS,"$85,000,000.00 ","$85,000,000.00 ",$0.00 ,"$85,000,000.00 ",1 ,1 
2008,7013,TRANSPORTATION SECURITY ADMINISTRATION,C212,ENGINEERING DRAFTING SERVICES,"$54,400,000.00 ","$54,400,000.00 ",$0.00 ,"$54,400,000.00 ",1 ,1 
2008,7013,TRANSPORTATION SECURITY ADMINISTRATION,C219,OTHER ARCHITECTS & ENGIN GEN,"$115,000,000.00 ","$115,000,000.00 ",$0.00 ,"$115,000,000.00 ",2 ,2 
2008,7013,TRANSPORTATION SECURITY ADMINISTRATION,N063,INSTALL OF ALARM & SIGNAL SYSTEM,"$18,000,000.00 ","$18,000,000.00 ",$0.00 ,"$18,000,000.00 ",2 ,2 
2008,7013,TRANSPORTATION SECURITY ADMINISTRATION,N067,INSTALL OF PHOTOGRAPHIC EQ,"$7,163,450.00 ","$7,163,450.00 ",$0.00 ,"$7,163,450.00 ",7 ,7 
2008,7013,TRANSPORTATION SECURITY ADMINISTRATION,R499,OTHER PROFESSIONAL SERVICES,"$2,012,484.34 ","$2,012,484.34 ","$89,875.02 ","$1,656,984.34 ",217 ,217 
2008,7013,TRANSPORTATION SECURITY ADMINISTRATION,Y125,CONSTRUCTION OF AIRPORT TERMINALS,"$9,000,000.00 ","$9,000,000.00 ",$0.00 ,"$9,000,000.00 ",2 ,2 
2009,2100,DEPT OF THE ARMY,5810,COMM SECURITY EQ & COMPS,"$2,600,000.00 ","$2,600,000.00 ",$0.00 ,"$2,600,000.00 ",2 ,2 
2009,2100,DEPT OF THE ARMY,AC54,WEAPONS (ENGINEERING),"$91,300,848.04 ","$91,300,848.04 ",$0.00 ,"$91,300,848.04 ",14 ,14 
2009,2100,DEPT OF THE ARMY,AD14,AMMUNITION (ENGINEERING),"$336,824.30 ","$336,824.30 ",$0.00 ,"$336,824.30 ",1 ,1 
2009,2100,DEPT OF THE ARMY,AD24,SERVICES (ENGINEERING),"$773,701.15 ","$773,701.15 ",$0.00 ,"$773,701.15 ",1 ,1 
2009,2100,DEPT OF THE ARMY,AD94,OTHER DEFENSE (ENGINEERING),"$9,721,456.25 ","$9,721,456.25 ",$0.00 ,"$9,721,456.25 ",7 ,7 
2009,2100,DEPT OF THE ARMY,R425,ENGINEERING AND TECHNICAL SERVICES,$0.00 ,$0.00 ,$0.00 ,$0.00 ,1 ,1 
2009,7001,OFFICE OF PROCUREMENT OPERATIONS,6120,TRANSFORMERS - DISTRIB & POWER STA,"$4,148,542.00 ","$4,148,542.00 ",$0.00 ,"$1,572,854.00 ",1 ,1 
2009,7001,OFFICE OF PROCUREMENT OPERATIONS,6695,COMBINATION & MISC INSTRUMENTS,"$3,326,288.00 ","$3,326,288.00 ",$0.00 ,"$3,326,288.00 ",1 ,1 
2009,7001,OFFICE OF PROCUREMENT OPERATIONS,AH94,R&D-OTHER ENVIRONMENT-ENG DEV,"$56,663,000.00 ","$56,663,000.00 ",$0.00 ,"$56,663,000.00 ",1 ,1 
2009,7001,OFFICE OF PROCUREMENT OPERATIONS,AJ42,ENGINEERING (APPLIED/EXPLORATORY),"$29,636,399.00 ","$29,636,399.00 ",$0.00 ,"$29,512,545.00 ",7 ,7 
2009,7001,OFFICE OF PROCUREMENT OPERATIONS,AZ11,R&D-OTHER R & D-B RES,"$1,698,851.19 ","$1,698,851.19 ",$0.00 ,"$1,698,851.19 ",1 ,1 
2009,7001,OFFICE OF PROCUREMENT OPERATIONS,AZ13,R&D-OTHER R & D-ADV DEV,"$50,498,658.93 ","$50,498,658.93 ",$0.00 ,"$50,498,658.93 ",3 ,3 
2009,7001,OFFICE OF PROCUREMENT OPERATIONS,B504,STUDY/CHEMICAL-BIOLOGICAL,"$1,651,060.00 ","$1,651,060.00 ",$0.00 ,"$1,651,060.00 ",1 ,1 
