Unseperated,typeofsetaside,typeofsetasideText,Description,typeofsetaside2category
NULL,,NULL,NULL,NULL
: ,: ,,NULL,NULL
638: ,638,,NULL,NULL
8A: 8A COMPETED,8A,8A COMPETED,NULL,NULL
8AC: ,8AC,,NULL,NULL
NULL,8ACCiv,SDB Set-Aside 8(a),NULL,NULL
8AN: 8(A) SOLE SOURCE ,8AN,8(A) SOLE SOURCE ,NULL,NULL
BI: BUY INDIAN ,BI,BUY INDIAN ,NULL,NULL
NULL,BICiv,Buy Indian,NULL,NULL
EDWOSB: ECONOMICALLY DISADVANTAGED WOMEN OWNED SMALL BUSINESS,EDWOSB,ECONOMICALLY DISADVANTAGED WOMEN OWNED SMALL BUSINESS,NULL,NULL
ESB: EMERGING SMALL BUSINESS SET ASIDE,ESB,EMERGING SMALL BUSINESS SET ASIDE,NULL,NULL
HMP: HBCU OR MI SET-ASIDE -- PARTIAL,HMP,HBCU OR MI SET-ASIDE -- PARTIAL,NULL,NULL
HMT: HBCU OR MI SET-ASIDE -- TOTAL,HMT,HBCU OR MI SET-ASIDE -- TOTAL,NULL,NULL
NULL,HS2Civ,Combination HUBZone and 8(a),NULL,NULL
HS3: 8(A) WITH HUB ZONE PREFERENCE,HS3,8(A) WITH HUB ZONE PREFERENCE,NULL,NULL
HZC: HUBZONE SET-ASIDE,HZC,HUBZONE SET-ASIDE,NULL,NULL
HZS: HUBZONE SOLE SOURCE ,HZS,HUBZONE SOLE SOURCE ,NULL,NULL
NULL,ISBEE,NULL,NULL,NULL
NONE: NO SET ASIDE USED.,NONE,NO SET ASIDE USED.,NULL,NULL
RSB: RESERVED FOR SMALL BUSINESS,RSB,RESERVED FOR SMALL BUSINESS,NULL,NULL
NULL,RSBCiv,Reserved for Small Business $2501 to
100K,NULL,NULL
SBA: SMALL BUSINESS SET ASIDE - TOTAL,SBA,SMALL BUSINESS SET ASIDE - TOTAL,NULL,NULL
SBP: SMALL BUSINESS SET ASIDE - PARTIAL,SBP,SMALL BUSINESS SET ASIDE - PARTIAL,NULL,NULL
SDB: ,SDB,,NULL,NULL
SDVOBS: ,SDVOBS,,NULL,NULL
SDVOSBC: SERVICE DISABLED VETERAN OWNED SMALL BUSINESS SET-ASIDE,SDVOSBC,SERVICE DISABLED VETERAN OWNED SMALL BUSINESS SET-ASIDE,NULL,NULL
SDVOSBS: SDVOSB SOLE SOURCE,SDVOSBS,SDVOSB SOLE SOURCE,NULL,NULL
VSA: VETERAN SET ASIDE,VSA,VETERAN SET ASIDE,NULL,NULL
VSB: VERY SMALL BUSINESS,VSB,VERY SMALL BUSINESS,NULL,NULL
NULL,VSBCiv,Very Small Business Set Aside,NULL,NULL
VSS: VETERAN SOLE SOURCE,VSS,VETERAN SOLE SOURCE,NULL,NULL
WOSB: WOMEN OWNED SMALL BUSINESS,WOSB,WOMEN OWNED SMALL BUSINESS,NULL,NULL
