"","FY","VendorSize","Customer","Category","Portfolio","Amount"
"1","2000","Big Five","Air Force","Products","Aircraft and Drones",11491193048
"2","2000","Big Five","Air Force","Products","Electronics and Communications",1982023294
"3","2000","Big Five","Air Force","Products","Facilities and Construction",24116686
"4","2000","Big Five","Air Force","Products","Missile and Space Systems",823111675
"5","2000","Big Five","Air Force","Products","Other Products",731635
"6","2000","Big Five","Air Force","Products","Ships & Submarines",0
"7","2000","Big Five","Air Force","Products","Weapons and Ammunition",327643833
"8","2000","Big Five","Air Force","R&D","Aircraft and Drones",2103594715
"9","2000","Big Five","Air Force","R&D","Electronics and Communications",862040311
"10","2000","Big Five","Air Force","R&D","Missile and Space Systems",2690132353
"11","2000","Big Five","Air Force","R&D","Other R&D and Knowledge Based",42998639
"12","2000","Big Five","Air Force","R&D","Weapons and Ammunition",824766019
"13","2000","Big Five","Air Force","Services","Aircraft and Drones",2853305084
"14","2000","Big Five","Air Force","Services","Electronics and Communications",1432131109
"15","2000","Big Five","Air Force","Services","Facilities and Construction",216513951
"16","2000","Big Five","Air Force","Services","Missile and Space Systems",307458255
"17","2000","Big Five","Air Force","Services","Other R&D and Knowledge Based",577707217
"18","2000","Big Five","Air Force","Services","Other Services",75207069
"19","2000","Big Five","Air Force","Services","Weapons and Ammunition",-456660
"20","2000","Big Five","Army","NULL","Aircraft and Drones",0
"21","2000","Big Five","Army","NULL","NULL",348631
"22","2000","Big Five","Army","Products","Aircraft and Drones",3354184528
"23","2000","Big Five","Army","Products","Electronics and Communications",522671314
"24","2000","Big Five","Army","Products","Facilities and Construction",20453677
"25","2000","Big Five","Army","Products","Land Vehicles",859030054
"26","2000","Big Five","Army","Products","Missile and Space Systems",1955026636
"27","2000","Big Five","Army","Products","Other Products",10464597
"28","2000","Big Five","Army","Products","Weapons and Ammunition",482609284
"29","2000","Big Five","Army","R&D","Aircraft and Drones",715773932
"30","2000","Big Five","Army","R&D","Electronics and Communications",289391691
"31","2000","Big Five","Army","R&D","Land Vehicles",8301430
"32","2000","Big Five","Army","R&D","Missile and Space Systems",791790828
"33","2000","Big Five","Army","R&D","Other R&D and Knowledge Based",107816343
"34","2000","Big Five","Army","R&D","Weapons and Ammunition",60904740
"35","2000","Big Five","Army","Services","Aircraft and Drones",360147029
"36","2000","Big Five","Army","Services","Electronics and Communications",421106562
"37","2000","Big Five","Army","Services","Facilities and Construction",194381683
"38","2000","Big Five","Army","Services","Land Vehicles",106031154
"39","2000","Big Five","Army","Services","Missile and Space Systems",492884062
"40","2000","Big Five","Army","Services","Other R&D and Knowledge Based",208758866
"41","2000","Big Five","Army","Services","Other Services",81471621
"42","2000","Big Five","Army","Services","Weapons and Ammunition",29618321
"43","2000","Big Five","DLA","Products","Aircraft and Drones",102488270
"44","2000","Big Five","DLA","Products","Electronics and Communications",127856240
"45","2000","Big Five","DLA","Products","Facilities and Construction",2517201
"46","2000","Big Five","DLA","Products","Land Vehicles",570700
"47","2000","Big Five","DLA","Products","Other Products",56320330
"48","2000","Big Five","DLA","Products","Ships & Submarines",613404
"49","2000","Big Five","DLA","Products","Weapons and Ammunition",7335332
"50","2000","Big Five","DLA","Services","Electronics and Communications",59832637
"51","2000","Big Five","DLA","Services","Facilities and Construction",251350
"52","2000","Big Five","DLA","Services","Other R&D and Knowledge Based",765470
"53","2000","Big Five","MDA","Products","Electronics and Communications",565971
"54","2000","Big Five","MDA","R&D","Other R&D and Knowledge Based",1428512676
"55","2000","Big Five","MilitaryHealth","Services","Electronics and Communications",147819
"56","2000","Big Five","MilitaryHealth","Services","Other R&D and Knowledge Based",1218334
"57","2000","Big Five","Navy","Products","Aircraft and Drones",5221973674
"58","2000","Big Five","Navy","Products","Electronics and Communications",1957317497
"59","2000","Big Five","Navy","Products","Facilities and Construction",6961712
"60","2000","Big Five","Navy","Products","Land Vehicles",47262
"61","2000","Big Five","Navy","Products","Missile and Space Systems",1987786904
"62","2000","Big Five","Navy","Products","Other Products",206330979
"63","2000","Big Five","Navy","Products","Ships & Submarines",2310204153
"64","2000","Big Five","Navy","Products","Weapons and Ammunition",697496248
"65","2000","Big Five","Navy","R&D","Aircraft and Drones",850881264
"66","2000","Big Five","Navy","R&D","Electronics and Communications",834635559
"67","2000","Big Five","Navy","R&D","Facilities and Construction",48552039
"68","2000","Big Five","Navy","R&D","Land Vehicles",116236340
"69","2000","Big Five","Navy","R&D","Missile and Space Systems",129760844
"70","2000","Big Five","Navy","R&D","Other R&D and Knowledge Based",406397136
"71","2000","Big Five","Navy","R&D","Ships & Submarines",603425179
"72","2000","Big Five","Navy","R&D","Weapons and Ammunition",182990025
"73","2000","Big Five","Navy","Services","Aircraft and Drones",770388520
"74","2000","Big Five","Navy","Services","Electronics and Communications",748446627
