fiscal_year,Customer,SubCustomer,PlatformPortfolio,EntitySizeCode,EntitySizeText,EntityCategory,AnyEntityUSplaceOfPerformance,IsEntityAbove1990constantReportingThreshold,IsEntityAbove2016constantReportingThreshold,EntityCount,AllContractorCount,SumOfNumberOfActions,SumOfObligatedAmount
2014,Defense,Other DoD,Land Vehicles,M,Medium Vendor,PDuns,0,1,1,6,7,9,-767671.3
2014,Defense,Other DoD,Missile and Space Systems,B,Big Five,PID,0,1,1,5,5,263,-36005883.2
2014,Defense,Other DoD,Missile and Space Systems,M,Medium Vendor,PDuns,1,1,1,1,1,2,0
2014,Defense,Other DoD,Missile and Space Systems,M,Medium Vendor,PID,0,1,1,3,3,13,-620164.93
2014,Defense,Other DoD,Missile and Space Systems,N,Sometimes Small Vendor,PDuns,0,1,1,24,27,42,-367679.72
2014,Defense,Other DoD,Missile and Space Systems,S,Always Small Vendor,PDuns,0,1,1,61,61,93,-799668.89
2014,Defense,Other DoD,Missile and Space Systems,S,Always Small Vendor,PID,0,1,1,1,1,1,-1007
2014,Defense,Other DoD,Other Products,L,Large Vendor,PDuns,0,1,1,2,2,2,6369.32
2014,Defense,Other DoD,Other Products,M,Medium Vendor,PDuns,1,0,0,2,2,2,3480.23
2014,Defense,Other DoD,Other Products,S,Always Small Vendor,PID,0,1,1,1,1,1,0
2014,Defense,Other DoD,Other R&D and Knowledge Based,L,Large Vendor,PID,0,1,1,63,63,2825,1100732004
2014,Defense,Other DoD,Other R&D and Knowledge Based,M,Medium Vendor,PDuns,0,1,1,203,204,567,180498899.9
2014,Defense,Other DoD,Other R&D and Knowledge Based,N,Sometimes Small Vendor,PDuns,0,0,1,7,7,23,35626.02
2014,Defense,Other DoD,Other R&D and Knowledge Based,N,Sometimes Small Vendor,PID,0,1,1,126,126,1787,409229299.3
2014,Defense,Other DoD,Other Services,N,Sometimes Small Vendor,PDuns,NULL,1,1,1,1,NULL,0
2014,Defense,Other DoD,Other Services,S,Always Small Vendor,PDuns,1,1,1,2,2,3282,221296906.4
2014,Defense,Other DoD,Weapons and Ammunition,M,Medium Vendor,PDuns,0,1,1,10,11,26,-122391.07
2014,Defense,Other DoD,Weapons and Ammunition,M,Medium Vendor,PID,0,1,1,2,2,1,-61741.8
2015,Defense,Air Force,Aircraft and Drones,L,Large Vendor,PDuns,0,1,1,13,35,286,191397008.7
2015,Defense,Air Force,Electronics and Communications,J,Large: Big 5 JV,PDuns,0,1,1,1,1,6,1021347
2015,Defense,Air Force,Electronics and Communications,L,Large Vendor,PDuns,0,0,1,1,1,1,9927.91
2015,Defense,Air Force,Electronics and Communications,M,Medium Vendor,PDuns,0,0,1,24,25,29,146638.5
2015,Defense,Air Force,Electronics and Communications,S,Always Small Vendor,PDuns,NULL,1,1,8,8,1,248230.15
2015,Defense,Air Force,Facilities and Construction,L,Large Vendor,PID,1,1,1,3,3,44,43944285.75
2015,Defense,Air Force,Facilities and Construction,N,Sometimes Small Vendor,PDuns,0,0,0,3,3,4,5495.99
2015,Defense,Air Force,Land Vehicles,M,Medium Vendor,PID,0,1,1,1,1,50,60555998.5
2015,Defense,Air Force,Land Vehicles,N,Sometimes Small Vendor,PDuns,1,1,1,1,1,2,39900.6
2015,Defense,Air Force,Missile and Space Systems,L,Large Vendor,PID,0,1,1,29,29,543,457459257.4
2015,Defense,Air Force,Missile and Space Systems,M,Medium Vendor,PDuns,1,1,1,4,4,8,432782.58
2015,Defense,Air Force,Other Products,M,Medium Vendor,PID,1,1,1,1,1,0,0
2015,Defense,Air Force,Other Products,N,Sometimes Small Vendor,PDuns,0,0,1,8,8,12,65948.8
2015,Defense,Air Force,Other Products,S,Always Small Vendor,PDuns,NULL,1,1,5,5,0,0
2015,Defense,Air Force,Other R&D and Knowledge Based,M,Medium Vendor,PDuns,NULL,1,1,4,4,0,0
2015,Defense,Air Force,Other R&D and Knowledge Based,M,Medium Vendor,PDuns,0,0,0,3,3,4,8500
2015,Defense,Air Force,Other R&D and Knowledge Based,M,Medium Vendor,PDuns,1,1,1,119,121,248,54939146.23
2015,Defense,Air Force,Other Services,L,Large Vendor,PDuns,0,1,1,8,9,6,183379.8
2015,Defense,Air Force,Other Services,N,Sometimes Small Vendor,PDuns,1,1,1,6,6,111,1109875.54
2015,Defense,Air Force,Other Services,S,Always Small Vendor,PDuns,0,0,0,11,11,17,-17902.85
2015,Defense,Air Force,Ships & Submarines,M,Medium Vendor,PDuns,0,1,1,1,1,8,125384.82
2015,Defense,Air Force,Weapons and Ammunition,N,Sometimes Small Vendor,PDuns,1,1,1,1,1,3,536416.21
2015,Defense,Army,Aircraft and Drones,M,Medium Vendor,PDuns,1,0,0,1,1,1,0
2015,Defense,Army,Aircraft and Drones,S,Always Small Vendor,PDuns,1,0,0,1,1,1,71855
2015,Defense,Army,Electronics and Communications,L,Large Vendor,PID,0,1,1,85,85,14121,2768448699
2015,Defense,Army,Electronics and Communications,M,Medium Vendor,PID,1,0,1,1,1,3,7942.15
2015,Defense,Army,Electronics and Communications,N,Sometimes Small Vendor,Duns,0,1,1,1,1,283,56384890.77
2015,Defense,Army,Electronics and Communications,U,Unlabeled Vendor,Duns,0,1,1,1,1,5,41582.58
2015,Defense,Army,Facilities and Construction,L,Large Vendor,PDuns,1,1,1,1,1,1,8137.81
2015,Defense,Army,Facilities and Construction,L,Large Vendor,PID,NULL,1,1,1,1,NULL,0
2015,Defense,Army,Facilities and Construction,M,Medium Vendor,PDuns,1,0,0,20,20,32,-345512.62
2015,Defense,Army,Facilities and Construction,N,Sometimes Small Vendor,PDuns,1,1,1,28,28,363,48926337.74
2015,Defense,Army,Facilities and Construction,S,Always Small Vendor,PDuns,1,0,0,1,1,2,0
2015,Defense,Army,Facilities and Construction,U,Unlabeled Vendor,Duns,1,0,1,1,1,2,8383
2015,Defense,Army,Land Vehicles,M,Medium Vendor,PDuns,0,0,0,5,5,5,-913.48
2015,Defense,Army,Land Vehicles,M,Medium Vendor,PDuns,1,0,1,7,7,11,42241.11
2015,Defense,Army,Land Vehicles,N,Sometimes Small Vendor,PDuns,0,0,1,13,13,23,143036.58
2015,Defense,Army,Missile and Space Systems,M,Medium Vendor,PDuns,0,0,0,1,1,1,0
2015,Defense,Army,Other Products,L,Large Vendor,PID,0,1,1,49,49,880,164784957.8
2015,Defense,Army,Other Products,M,Medium Vendor,PDuns,NULL,1,1,4,4,NULL,0
2015,Defense,Army,Other Products,M,Medium Vendor,PDuns,1,0,0,8,8,20,1279.72
2015,Defense,Army,Other Products,N,Sometimes Small Vendor,PDuns,0,0,0,5,5,11,-10229.17
2015,Defense,Army,Other Products,N,Sometimes Small Vendor,PDuns,1,0,1,1,1,10,16481.67
2015,Defense,Army,Other R&D and Knowledge Based,B,Big Five,PDuns,0,1,1,2,2,3,74690.45
2015,Defense,Army,Other R&D and Knowledge Based,L,Large Vendor,PDuns,0,1,1,27,42,250,90877108.14
2015,Defense,Army,Other R&D and Knowledge Based,L,Large Vendor,PID,0,1,1,95,95,5581,3803728590
2015,Defense,Army,Other R&D and Knowledge Based,M,Medium Vendor,PDuns,0,0,1,86,87,116,1352264.65
2015,Defense,Army,Other R&D and Knowledge Based,M,Medium Vendor,PID,1,1,1,2,2,12,5896934.78
2015,Defense,Army,Other R&D and Knowledge Based,N,Sometimes Small Vendor,PDuns,0,0,0,4,4,8,-7099.65
2015,Defense,Army,Other R&D and Knowledge Based,N,Sometimes Small Vendor,PDuns,0,1,1,967,1044,6403,1590597092
2015,Defense,Army,Other R&D and Knowledge Based,S,Always Small Vendor,PDuns,NULL,1,1,31,31,0,0
2015,Defense,Army,Other R&D and Knowledge Based,S,Always Small Vendor,PDuns,0,0,0,70,70,94,-273756.15
2015,Defense,Army,Other Services,J,Large: Big 5 JV,PID,0,1,1,2,2,17,1200704.4
2015,Defense,Army,Other Services,M,Medium Vendor,PID,0,1,1,26,26,211,19128881.89
2015,Defense,Army,Other Services,N,Sometimes Small Vendor,Duns,0,1,1,1,1,747,9969479.34
2015,Defense,Army,Other Services,N,Sometimes Small Vendor,PDuns,1,0,1,1,1,2,4849.84
