fiscal_year,Customer,SubCustomer,EntitySizeCode,EntitySizeText,EntityCategory,AnyEntityUSplaceOfPerformance,IsEntityAbove1990constantReportingThreshold,IsEntityAbove2016constantReportingThreshold,EntityCount,AllContractorCount,SumOfNumberOfActions,SumOfObligatedAmount
1987,Defense,Army,S,Always Small Vendor,PDuns,NULL,0,0,1,1,NULL,-171000
1988,Defense,Army,M,Medium Vendor,PDuns,NULL,1,1,1,1,NULL,73000
1988,Defense,Army,N,Sometimes Small Vendor,PDuns,NULL,1,1,1,1,NULL,-35000
1988,Defense,Army,S,Always Small Vendor,PDuns,NULL,0,0,1,1,NULL,-39000
1988,Defense,Navy,B,Big Five,PID,NULL,1,1,2,2,NULL,694000
1988,Defense,Navy,L,Large Vendor,PID,NULL,1,1,8,8,NULL,2358000
1988,Defense,Navy,M,Medium Vendor,PDuns,NULL,0,0,3,3,NULL,-138330
1988,Defense,Navy,M,Medium Vendor,PDuns,NULL,1,1,8,8,NULL,302000
1988,Defense,Navy,M,Medium Vendor,PID,NULL,1,1,2,2,NULL,-65000
1988,Defense,Navy,N,Sometimes Small Vendor,PDuns,NULL,1,1,1,4,NULL,556000
1988,Defense,Navy,S,Always Small Vendor,PDuns,NULL,0,0,1,1,NULL,1486000
1988,Defense,Navy,S,Always Small Vendor,PDuns,NULL,1,1,5,5,NULL,2159000
1988,Defense,Other DoD,L,Large Vendor,PID,NULL,1,1,2,2,NULL,102000
1988,Defense,Other DoD,M,Medium Vendor,PDuns,NULL,1,1,1,1,NULL,200000
1989,Defense,Army,L,Large Vendor,PID,NULL,1,1,6,6,NULL,70078000
1989,Defense,Army,M,Medium Vendor,PDuns,NULL,0,0,2,2,NULL,44000
1989,Defense,Army,M,Medium Vendor,PDuns,NULL,1,1,11,32,NULL,63972000
1989,Defense,Army,M,Medium Vendor,PID,NULL,1,1,3,3,NULL,176388000
1989,Defense,Army,N,Sometimes Small Vendor,PDuns,NULL,1,1,2,2,NULL,27000
1989,Defense,Army,S,Always Small Vendor,PDuns,NULL,0,0,1,1,NULL,-90000
1989,Defense,Army,S,Always Small Vendor,PDuns,NULL,1,1,9,9,NULL,12163000
1989,Defense,Navy,B,Big Five,PDuns,NULL,1,1,4,5,NULL,112109000
1989,Defense,Navy,B,Big Five,PID,NULL,1,1,5,5,NULL,78469000
1989,Defense,Navy,L,Large Vendor,PDuns,NULL,1,1,5,8,NULL,-1752000
1989,Defense,Navy,L,Large Vendor,PID,NULL,1,1,30,30,NULL,164373000
1989,Defense,Navy,M,Medium Vendor,PDuns,NULL,0,0,7,7,NULL,877000
1989,Defense,Navy,M,Medium Vendor,PDuns,NULL,0,1,1,1,NULL,44000
1989,Defense,Navy,M,Medium Vendor,PDuns,NULL,1,1,292,980,NULL,570697000
1989,Defense,Navy,M,Medium Vendor,PID,NULL,0,0,1,1,NULL,-595000
1989,Defense,Navy,M,Medium Vendor,PID,NULL,1,1,34,34,NULL,120686975
1989,Defense,Navy,N,Sometimes Small Vendor,PDuns,NULL,1,1,21,30,NULL,63745000
1989,Defense,Navy,N,Sometimes Small Vendor,PID,NULL,1,1,1,1,NULL,1097000
1989,Defense,Navy,S,Always Small Vendor,PDuns,NULL,0,0,7,7,NULL,-1636029
1989,Defense,Navy,S,Always Small Vendor,PDuns,NULL,1,1,247,249,NULL,116661000
1989,Defense,Navy,S,Always Small Vendor,PID,NULL,1,1,12,12,NULL,3148000
1989,Defense,Other DoD,B,Big Five,PID,NULL,1,1,1,1,NULL,1340000
1989,Defense,Other DoD,L,Large Vendor,PDuns,NULL,1,1,2,2,NULL,11735000
1989,Defense,Other DoD,L,Large Vendor,PID,NULL,1,1,9,9,NULL,16139000
1989,Defense,Other DoD,M,Medium Vendor,PDuns,NULL,1,1,17,36,NULL,46936000
1989,Defense,Other DoD,M,Medium Vendor,PID,NULL,1,1,2,2,NULL,691000
1989,Defense,Other DoD,N,Sometimes Small Vendor,PDuns,NULL,1,1,1,1,NULL,70000
1989,Defense,Other DoD,S,Always Small Vendor,PDuns,NULL,1,1,16,16,NULL,9062000
1989,Defense,Other DoD,S,Always Small Vendor,PID,NULL,1,1,1,1,NULL,205000
1990,Defense,Air Force,NULL,NULL,PID,NULL,NULL,NULL,1,1,NULL,9010000
1990,Defense,Air Force,B,Big Five,PDuns,NULL,1,1,2,7,NULL,25395000
1990,Defense,Air Force,B,Big Five,PID,NULL,1,1,5,5,NULL,7540391000
1990,Defense,Air Force,L,Large Vendor,PDuns,NULL,1,1,14,4814,NULL,3477514000
1990,Defense,Air Force,L,Large Vendor,PID,NULL,1,1,72,72,NULL,17701000000
1990,Defense,Air Force,M,Medium Vendor,PDuns,NULL,0,0,28,29,NULL,15928000
1990,Defense,Air Force,M,Medium Vendor,PDuns,NULL,0,1,1,1,NULL,-1237000
1990,Defense,Air Force,M,Medium Vendor,PDuns,NULL,1,1,1250,1829,NULL,2548550000
1990,Defense,Air Force,M,Medium Vendor,PID,NULL,0,0,1,1,NULL,-1137000
1990,Defense,Air Force,M,Medium Vendor,PID,NULL,1,1,89,89,NULL,3754787000
1990,Defense,Air Force,N,Sometimes Small Vendor,PDuns,NULL,0,0,4,4,NULL,-1041000
1990,Defense,Air Force,N,Sometimes Small Vendor,PDuns,NULL,0,1,1,1,NULL,130000
1990,Defense,Air Force,N,Sometimes Small Vendor,PDuns,NULL,1,1,1044,1909,NULL,3567213000
1990,Defense,Air Force,N,Sometimes Small Vendor,PID,NULL,1,1,73,73,NULL,1528485000
1990,Defense,Air Force,S,Always Small Vendor,PDuns,NULL,0,0,26,26,NULL,-4546000
1990,Defense,Air Force,S,Always Small Vendor,PDuns,NULL,0,1,1,1,NULL,62000
1990,Defense,Air Force,S,Always Small Vendor,PDuns,NULL,1,1,1028,1072,NULL,801968000
1990,Defense,Air Force,S,Always Small Vendor,PID,NULL,1,1,18,18,NULL,69844000
1990,Defense,Army,B,Big Five,PDuns,NULL,1,1,2,10,NULL,182140000
