fiscal_year,Customer,EntitySizeCode,EntitySizeText,EntityCategory,AnyEntityUSplaceOfPerformance,IsEntityAbove1990constantReportingThreshold,IsEntityAbove2016constantReportingThreshold,EntityCount,AllContractorCount,SumOfNumberOfActions,SumOfObligatedAmount
1987,Defense,S,Always Small Vendor,PDuns,NULL,0,0,1,1,NULL,-171000
1988,Defense,B,Big Five,PID,NULL,1,1,2,2,NULL,694000
1988,Defense,L,Large Vendor,PID,NULL,1,1,9,9,NULL,2460000
1988,Defense,M,Medium Vendor,PDuns,NULL,0,0,3,3,NULL,-138330
1988,Defense,M,Medium Vendor,PDuns,NULL,1,1,10,10,NULL,575000
1988,Defense,M,Medium Vendor,PID,NULL,1,1,2,2,NULL,-65000
1988,Defense,N,Sometimes Small Vendor,PDuns,NULL,1,1,1,5,NULL,521000
1988,Defense,S,Always Small Vendor,PDuns,NULL,0,0,2,2,NULL,1447000
1988,Defense,S,Always Small Vendor,PDuns,NULL,1,1,5,5,NULL,2159000
1989,Defense,B,Big Five,PDuns,NULL,1,1,4,5,NULL,112109000
1989,Defense,B,Big Five,PID,NULL,1,1,5,5,NULL,79809000
1989,Defense,L,Large Vendor,PDuns,NULL,1,1,5,10,NULL,9983000
1989,Defense,L,Large Vendor,PID,NULL,1,1,33,33,NULL,250590000
1989,Defense,M,Medium Vendor,PDuns,NULL,0,0,9,9,NULL,921000
1989,Defense,M,Medium Vendor,PDuns,NULL,0,1,1,1,NULL,44000
1989,Defense,M,Medium Vendor,PDuns,NULL,1,1,306,1042,NULL,681605000
1989,Defense,M,Medium Vendor,PID,NULL,0,0,1,1,NULL,-595000
1989,Defense,M,Medium Vendor,PID,NULL,1,1,37,37,NULL,297765975
1989,Defense,N,Sometimes Small Vendor,PDuns,NULL,1,1,22,31,NULL,63842000
1989,Defense,N,Sometimes Small Vendor,PID,NULL,1,1,1,1,NULL,1097000
1989,Defense,S,Always Small Vendor,PDuns,NULL,0,0,8,8,NULL,-1726029
1989,Defense,S,Always Small Vendor,PDuns,NULL,1,1,269,274,NULL,137886000
1989,Defense,S,Always Small Vendor,PID,NULL,1,1,13,13,NULL,3353000
1990,Defense,NULL,NULL,PID,NULL,NULL,NULL,4,4,NULL,34898000
1990,Defense,B,Big Five,PDuns,NULL,1,1,5,22,NULL,272499000
1990,Defense,B,Big Five,PID,NULL,0,0,1,1,NULL,-35000
1990,Defense,B,Big Five,PID,NULL,1,1,5,5,NULL,15869067707
1990,Defense,J,Large: Big 5 JV,PID,NULL,1,1,1,1,NULL,103874000
1990,Defense,L,Large Vendor,PDuns,NULL,1,1,29,18262,NULL,12190476236
1990,Defense,L,Large Vendor,PID,NULL,0,0,1,1,NULL,NULL
