fiscal_year,SubCustomer,PlatformPortfolio,EntitySizeText,AnyEntityUSplaceOfPerformance,IsEntityAbove1990constantReportingThreshold,IsEntityAbove2016constantReportingThreshold,EntityCount,AllContractorCount,SumOfNumberOfActions,SumOfObligatedAmount
2e3,Air Force,Aircraft,Small,0,0,0,6,6,7,-530584
2e3,Air Force,Aircraft,Small,0,0,1,24,24,27,707590
2e3,Air Force,Aircraft,Small,0,1,1,885,928,3501,1819000652
2e3,Air Force,Aircraft,Large+,0,1,1,54,68,6885,22303605383
2e3,Air Force,Aircraft,Medium,0,0,0,2,2,3,-67814
2e3,Air Force,Aircraft,Medium,0,0,1,3,3,6,-139833
2e3,Air Force,Aircraft,Medium,0,1,1,94,104,392,337939989
2e3,Air Force,Aircraft,Medium,1,0,1,1,1,1,36890
2e3,Air Force,Aircraft,Medium,1,1,1,30,32,95,48167736
2e3,Air Force,Aircraft,Medium,NULL,0,0,1,1,0,0
2e3,Air Force,Aircraft,NULL,NULL,NULL,NULL,4,4,13,10149e3
2e3,Air Force,"Electronics, Comms, & Sensors",Small,0,0,0,7,7,13,-418725
2e3,Air Force,"Electronics, Comms, & Sensors",Small,0,0,1,78,78,86,3194974
2e3,Air Force,"Electronics, Comms, & Sensors",Small,0,1,1,1472,1510,6191,2201881635
2e3,Air Force,"Electronics, Comms, & Sensors",Large+,0,0,1,1,1,1,56602
2e3,Air Force,"Electronics, Comms, & Sensors",Large+,0,1,1,100,113,7131,6084566632
2e3,Air Force,"Electronics, Comms, & Sensors",Large+,1,1,1,1,1,19,437685796
2e3,Air Force,"Electronics, Comms, & Sensors",Medium,0,0,0,1,1,1,-119573
2e3,Air Force,"Electronics, Comms, & Sensors",Medium,0,0,1,9,9,9,367570
2e3,Air Force,"Electronics, Comms, & Sensors",Medium,0,1,1,224,230,684,212778536
2e3,Air Force,"Electronics, Comms, & Sensors",Medium,1,0,1,16,16,16,491939
2e3,Air Force,"Electronics, Comms, & Sensors",Medium,1,1,1,96,98,196,115636851
2e3,Air Force,"Electronics, Comms, & Sensors",Medium,NULL,0,0,1,1,0,0
2e3,Air Force,"Electronics, Comms, & Sensors",NULL,NULL,NULL,NULL,1,1,5,3967515
2e3,Air Force,Facilities and Construction,Small,0,0,0,68,68,89,-549707
2e3,Air Force,Facilities and Construction,Small,0,0,1,365,365,513,11064991
2e3,Air Force,Facilities and Construction,Small,0,1,1,2665,2713,14233,3187163728
