fiscal_year,SubCustomer,EntitySizeText,AnyEntityUSplaceOfPerformance,IsEntityAbove1990constantReportingThreshold,IsEntityAbove2016constantReportingThreshold,EntityCount,AllContractorCount,SumOfNumberOfActions,SumOfObligatedAmount
2e3,Air Force,Small,0,0,0,91,91,121,-1621434.0371262575
2e3,Air Force,Small,0,0,1,553,553,736,18753759.387841858
2e3,Air Force,Small,0,1,1,5712,5904,30933,10915454854.754145
2e3,Air Force,Small,1,1,1,3,3,22,1845833.923763639
2e3,Air Force,Small,NULL,0,0,3,3,0,0
2e3,Air Force,Large+,0,0,1,3,8,45,5419696.754995041
2e3,Air Force,Large+,0,1,1,157,197,19678,38499361268.24429
2e3,Air Force,Large+,1,1,1,3,3,27,484165591.61116624
2e3,Air Force,Medium,0,0,0,13,13,18,-467136.1768456851
2e3,Air Force,Medium,0,0,1,69,70,89,2229243.3045203346
2e3,Air Force,Medium,0,1,1,1028,1083,5018,2695756587.7851777
2e3,Air Force,Medium,1,0,0,6,6,10,-634290.7751169052
2e3,Air Force,Medium,1,0,1,81,81,88,3033636.1059940485
2e3,Air Force,Medium,1,1,1,719,723,2311,1135436834.3488734
2e3,Air Force,Medium,NULL,0,0,5,5,0,0
2e3,Air Force,NULL,NULL,NULL,NULL,5,5,36,29177847.52727788
2e3,Army,Small,0,0,0,116,116,164,-3468622.6441830806
2e3,Army,Small,0,0,1,911,911,1754,44665588.77710075
2e3,Army,Small,0,1,1,9326,9691,50925,17898898459.40201
2e3,Army,Small,1,0,1,1,1,1,42849.6528269803
2e3,Army,Small,1,1,1,5,5,50,6209341.079778943
2e3,Army,Small,NULL,0,0,4,4,0,0
2e3,Army,Small,NULL,0,1,1,1,1,10114.779651409948
2e3,Army,Small,NULL,1,1,3,3,1,28050.871475131076
2e3,Army,Large+,0,0,1,3,6,21,9720021.255491002
2e3,Army,Large+,0,1,1,184,239,19495,24315665031.883236
2e3,Army,Large+,1,1,1,6,7,1193,762587199.9433187
2e3,Army,Medium,0,0,0,16,16,40,-2640348.9443106134
2e3,Army,Medium,0,0,1,120,123,143,4998828.113929432
2e3,Army,Medium,0,1,1,1911,2010,10560,7121582491.143545
2e3,Army,Medium,1,0,0,12,12,18,-1937949.7378489443
2e3,Army,Medium,1,0,1,149,149,174,6324859.005243021
2e3,Army,Medium,1,1,1,1271,1280,5061,1949700709.9333994
2e3,Army,Medium,NULL,0,0,17,17,55,14279.013745217515
2e3,Army,Medium,NULL,0,1,7,7,22,352629.98653818906
2e3,Army,Medium,NULL,1,1,1,1,1,512301.26115913276
2e3,Army,NULL,NULL,NULL,NULL,4,4,32,47832462.80289075
2e3,Army,Unlabeled Vendor,NULL,1,1,1,1,4,9470525.7191441115
2e3,DLA,Small,0,0,0,17,17,26,-1427065.3252090123
2e3,DLA,Small,0,0,1,230,230,281,4807915.544849086
